City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Kattivakkam,IN,13.2167,80.3167,85.06,80,88,11.34,overcast clouds
324,Bengkulu,ID,-3.8004,102.2655,73.58,89,25,3.71,scattered clouds
325,Pacifica,US,37.6138,-122.4869,83.37,66,20,3.0,haze
326,Biga,TR,40.2281,27.2422,66.06,65,65,3.51,broken clouds
327,Pevek,RU,69.7008,170.3133,48.31,66,29,13.11,scattered clouds
328,Chippewa Falls,US,44.9369,-91.3929,90.54,33,20,13.98,few clouds
329,Balabac,PH,7.9868,117.0645,83.28,79,100,7.9,overcast clouds
330,Talara,PE,-4.5772,-81.2719,67.95,82,68,15.86,broken clouds
331,Harper,LR,4.375,-7.7169,78.06,88,100,11.83,light rain
332,Mackay,AU,-21.15,149.2,67.05,77,90,14.03,overcast clouds
333,Sorada,IN,19.75,84.4333,84.25,66,79,3.09,broken clouds
334,Waldoboro,US,44.0954,-69.3756,82.89,83,56,4.36,broken clouds
335,Fairbanks,US,64.8378,-147.7164,68.34,55,90,13.8,light rain
336,San Vicente,AR,-26.6167,-54.1333,58.26,98,100,1.92,moderate rain
337,Tongliao,CN,43.6125,122.2653,71.74,41,10,8.16,clear sky
338,Baoding,CN,38.8511,115.4903,76.17,35,100,13.53,overcast clouds
339,Manggar,ID,-2.8833,108.2667,81.84,77,80,9.86,broken clouds
340,Yumen,CN,40.2833,97.2,58.68,19,70,11.45,broken clouds
341,Yerbogachen,RU,61.2767,108.0108,42.98,48,2,12.24,clear sky
342,Canandaigua,US,42.8742,-77.288,88.63,75,45,7.11,scattered clouds
343,Freetown,SL,8.484,-13.2299,80.06,85,99,4.63,overcast clouds
